id_chromosome,id_image,etiqueta,xmin,ymin,xmax,ymax
118,103072,D13,464,371,506,432
119,103072,D14,424,426,485,454
120,103072,D14,505,341,551,394
121,103072,D15,245,468,292,522
122,103072,D15,348,79,382,140
123,103072,E16,285,242,320,295
124,103072,E16,403,264,460,301
125,103072,E17,268,338,315,380
126,103072,E17,456,221,501,259
127,103072,E18,225,261,262,305
128,103072,E18,475,126,519,170
129,103072,F19,338,513,368,559
130,103072,F19,382,417,422,453
131,103072,F20,432,329,472,374
132,103072,F20,230,318,258,361
133,103072,G21,344,172,380,204
134,103072,G21,331,128,351,162
135,103072,G22,299,287,337,320
136,103072,G22,261,247,285,284
137,103072,X,404,471,480,506
138,103072,X,102,413,156,491
139,103081,A1,219,464,340,559
140,103081,A1,355,193,469,284
141,103081,A2,88,265,180,363
142,103081,A2,117,107,233,197
143,103081,A3,49,312,138,392
144,103081,A3,84,153,139,250
145,103081,B4,52,297,118,378
146,103081,B4,512,252,603,318
147,103081,B5,149,430,251,469
148,103081,B5,527,387,612,434
149,103081,C6,290,472,379,538
150,103081,C6,452,430,522,503
151,103081,C7,467,257,529,336
152,103081,C7,148,360,193,447
153,103081,C8,305,143,372,193
154,103081,C8,270,209,355,244
155,103081,C9,405,400,468,458
156,103081,C9,488,38,522,116
157,103081,C10,413,311,484,361
158,103081,C10,288,52,369,86
159,103081,C11,384,369,433,410
160,103081,C11,364,303,401,373
161,103081,C12,586,268,645,340
162,103081,C12,278,292,336,353
163,103081,D13,452,210,516,246
164,103081,D13,269,87,333,123
165,103081,D14,449,248,511,276
166,103081,D14,383,154,442,204
167,103081,D15,310,520,356,566
168,103081,D15,499,342,554,393
169,103081,E16,303,419,359,448
170,103081,E16,196,343,235,389
171,103081,E17,214,396,269,434
172,103081,E17,280,340,331,376
173,103081,E18,403,273,450,308
174,103081,E18,350,292,387,336
175,103081,F19,179,382,216,414
176,103081,F19,496,444,529,483
177,103081,F20,191,482,229,518
178,103081,F20,296,264,320,308
179,103081,G21,549,75,576,113
180,103081,G21,357,210,388,242
181,103081,G22,95,452,130,484
182,103081,G22,172,273,214,305
183,103081,X,371,75,420,147
184,103081,X,41,181,110,234
185,103081,Y,292,447,324,464
186,103082,A1,43,379,176,478
187,103082,A1,190,265,346,347
188,103082,A2,855,322,901,475
189,103082,A2,746,382,798,511
190,103082,A3,722,211,828,278
191,103082,A3,323,14,353,150
192,103082,B4,237,380,278,469
193,103082,B4,450,164,556,215
194,103082,B5,334,392,417,477
195,103082,B5,298,125,372,219
196,103082,C6,921,382,1024,449
197,103082,C6,196,112,281,180
198,103082,C7,507,410,548,497
199,103082,C7,190,392,281,429
200,103082,C8,416,444,475,508
201,103082,C8,266,99,319,188
202,103082,C9,547,420,591,499
203,103082,C9,407,535,485,586
204,103082,C10,817,219,884,296
205,103082,C10,452,373,500,433
206,103082,C11,670,480,746,518
207,103082,C11,506,296,585,337
208,103082,C12,1061,296,1109,360
209,103082,C12,812,171,844,260
210,103082,D13,499,443,525,515
211,103082,D13,148,207,220,238
212,103082,D14,361,274,406,333
213,103082,D14,76,252,131,317
214,103082,D15,376,339,422,386
215,103082,D15,221,467,288,509
216,103082,E16,647,394,698,435
217,103082,E16,478,143,522,179
218,103082,E17,550,178,590,225
219,103082,E17,251,432,295,488
220,103082,E18,433,493,474,535
221,103082,E18,332,207,369,259
222,103082,F19,393,273,425,318
223,103082,F19,363,110,398,159
224,103082,F20,204,298,236,336
225,103082,F20,217,184,262,219
226,103082,G21,391,417,415,451
227,103082,G21,243,353,275,382
228,103082,G22,320,440,354,480
229,103082,G22,372,474,404,517
230,103082,X,598,692,687,743
231,103082,X,468,440,557,489
232,103091,A1,245,103,279,263
233,103091,A1,193,175,325,218
234,103091,A2,480,404,551,533
235,103091,A2,284,114,397,207
236,103091,A3,428,469,535,522
237,103091,A3,192,350,240,455
238,103091,B4,380,121,485,189
239,103091,B4,147,163,183,267
240,103091,B5,537,439,640,484
241,103091,B5,84,143,126,259
242,103091,C6,441,421,539,477
243,103091,C6,16,216,60,319
244,103091,C7,107,335,185,391
245,103091,C7,234,179,310,224
246,103091,C8,825,407,875,494
247,103091,C8,453,401,511,467
248,103091,C9,557,281,604,353
249,103091,C9,195,504,273,525
250,103091,C10,324,406,363,481
251,103091,C10,40,255,110,296
252,103091,C11,117,400,201,432
253,103091,C11,234,279,265,355
254,103091,C12,160,508,204,582
255,103091,C12,110,450,189,477
256,103091,D13,642,411,705,449
257,103091,D13,235,460,276,515
258,103091,D14,488,340,545,377
259,103091,D14,186,274,244,318
260,103091,D15,470,314,528,346
261,103091,D15,309,522,340,594
262,103091,E16,268,225,301,278
263,103091,E16,213,139,235,192
264,103091,E17,392,482,444,514
265,103091,E17,67,162,97,213
266,103091,E18,207,55,242,105
267,103091,E18,123,182,149,233
268,103091,F19,42,340,76,389
269,103091,F19,96,283,120,327
270,103091,F20,223,354,254,395
271,103091,F20,362,145,409,171
272,103091,G21,132,517,162,547
273,103091,G21,223,524,247,559
274,103091,G22,315,388,351,412
275,103091,G22,232,158,264,183
276,103091,X,129,313,194,387
277,103091,Y,490,186,521,234
278,103092,A1,524,424,619,520
279,103092,A1,566,577,676,672
280,103092,A2,825,621,889,754
281,103092,A2,710,477,809,571
282,103092,A3,654,656,747,729
283,103092,A3,822,878,938,912
284,103092,B4,718,492,804,576
285,103092,B4,838,842,898,956
286,103092,B5,548,636,650,671
287,103092,B5,757,842,838,928
288,103092,C6,695,403,763,494
289,103092,C6,720,775,829,809
290,103092,C7,248,141,293,238
291,103092,C7,586,374,676,417
292,103092,C8,662,624,725,700
293,103092,C8,551,659,596,742
294,103092,C9,163,6,227,95
295,103092,C9,563,473,601,558
296,103092,C10,604,727,684,768
297,103092,C10,625,795,701,864
298,103092,C11,724,894,772,965
299,103092,C11,929,837,978,915
300,103092,C12,918,734,967,810
301,103092,C12,702,833,782,858
302,103092,D13,798,585,847,647
303,103092,D13,865,786,930,820
304,103092,D14,353,182,395,250
305,103092,D14,751,586,784,652
306,103092,D15,633,446,691,494
307,103092,D15,497,545,558,597
308,103092,E16,715,857,761,900
309,103092,E16,975,842,1014,898
310,103092,E17,901,399,963,454
311,103092,E17,817,507,852,569
312,103092,E18,629,528,678,578
313,103092,E18,787,726,838,765
314,103092,F19,694,497,727,540
315,103092,F19,658,598,701,638
316,103092,F20,402,439,436,494
317,103092,F20,760,969,809,996
318,103092,G21,772,687,807,721
319,103092,G21,852,799,879,836
320,103092,G22,601,676,637,708
321,103092,G22,891,685,921,723
322,103092,X,441,200,536,259
323,103092,X,822,446,882,509
324,103092,Y,766,573,812,603
325,103093,A1,681,480,831,559
326,103093,A1,390,307,496,419
327,103093,A2,752,776,817,872
328,103093,A2,579,403,723,494
329,103093,A3,751,277,834,405
330,103093,A3,709,247,844,320
331,103093,B4,512,666,619,760
332,103093,B4,666,23,807,97
333,103093,B5,63,608,108,742
334,103093,B5,651,567,755,640
335,103093,C6,360,596,415,706
336,103093,C6,201,626,281,753
337,103093,C7,206,419,293,487
338,103093,C7,418,365,480,435
339,103093,C8,248,125,327,224
340,103093,C8,444,323,526,379
341,103093,C9,921,660,993,738
342,103093,C9,595,327,671,394
343,103093,C10,736,707,809,770
344,103093,C10,568,155,624,230
345,103093,C11,18,837,115,892
346,103093,C11,709,824,793,892
347,103093,C12,132,269,216,360
348,103093,C12,349,348,441,404
349,103093,D13,234,473,276,557
350,103093,D13,645,186,721,232
351,103093,D14,662,740,720,807
352,103093,D14,672,254,740,310
353,103093,D15,237,282,305,359
354,103093,D15,612,479,639,549
355,103093,E16,564,256,622,313
356,103093,E16,610,411,653,473
357,103093,E17,530,555,570,628
358,103093,E17,520,218,562,284
359,103093,E18,349,746,404,780
360,103093,E18,719,126,791,162
361,103093,F19,448,172,511,203
362,103093,F19,788,299,833,354
363,103093,F20,326,490,357,535
364,103093,F20,617,150,666,191
365,103093,G21,337,789,363,832
366,103093,G21,618,353,653,393
367,103093,G22,691,547,735,570
368,103093,G22,254,225,289,270
369,103093,X,829,748,927,808
370,103093,Y,305,496,336,545
371,103094,A1,335,675,429,799
372,103094,A1,140,575,298,663
373,103094,A2,279,401,328,547
374,103094,A2,349,365,391,517
375,103094,A3,766,670,890,743
376,103094,A3,194,189,305,261
377,103094,B4,444,191,485,304
378,103094,B4,421,235,528,287
379,103094,B5,126,728,229,809
380,103094,B5,50,308,103,429
381,103094,C6,442,348,541,394
382,103094,C6,356,275,431,354
383,103094,C7,148,509,233,595
384,103094,C7,569,429,650,482
385,103094,C8,489,312,585,339
386,103094,C8,635,383,724,428
387,103094,C9,246,706,323,754
388,103094,C9,158,674,199,755
389,103094,C10,549,25,614,113
390,103094,C10,472,201,552,262
391,103094,C11,80,581,145,634
392,103094,C11,150,313,209,397
393,103094,C12,187,142,279,180
394,103094,C12,431,413,479,491
395,103094,D13,576,330,622,407
396,103094,D13,149,55,180,135
397,103094,D14,695,703,748,774
398,103094,D14,147,200,221,228
399,103094,D15,173,351,223,416
400,103094,D15,195,101,228,179
401,103094,E16,262,233,321,266
402,103094,E16,370,485,396,544
403,103094,E17,495,447,555,493
404,103094,E17,94,242,123,319
405,103094,E18,250,263,307,290
406,103094,E18,384,421,422,468
407,103094,F19,531,544,581,584
408,103094,F19,392,465,428,511
409,103094,F20,267,597,322,629
410,103094,F20,219,716,257,766
411,103094,G21,506,701,547,734
412,103094,G21,214,296,252,343
413,103094,G22,378,688,421,720
414,103094,G22,303,172,331,213
415,103094,X,509,597,571,666
416,103094,Y,428,475,457,523
417,103095,A1,588,177,673,289
418,103095,A1,285,138,395,219
419,103095,A2,344,422,431,510
420,103095,A2,643,333,723,439
421,103095,A3,206,600,243,701
422,103095,A3,340,366,438,407
423,103095,B4,464,657,556,691
424,103095,B4,226,582,272,676
425,103095,B5,229,176,314,217
426,103095,B5,144,279,189,372
427,103095,C6,560,89,589,188
428,103095,C6,597,444,695,488
429,103095,C7,292,397,343,471
430,103095,C7,518,501,563,584
431,103095,C8,444,28,522,85
432,103095,C8,295,683,366,744
433,103095,C9,227,268,298,316
434,103095,C9,133,456,183,537
435,103095,C10,422,186,463,260
436,103095,C10,419,629,485,688
437,103095,C11,143,548,197,624
438,103095,C11,536,462,599,528
439,103095,C12,374,733,432,809
440,103095,C12,255,699,329,743
441,103095,D13,191,197,231,256
442,103095,D13,552,364,622,415
443,103095,D14,522,681,569,731
444,103095,D14,314,431,374,474
445,103095,D15,470,522,527,566
446,103095,D15,180,350,226,404
447,103095,E16,155,417,188,471
448,103095,E16,400,518,430,570
449,103095,E17,321,781,385,822
450,103095,E17,368,548,403,598
451,103095,E18,468,786,517,840
452,103095,E18,270,586,326,627
453,103095,F19,342,95,394,129
454,103095,F19,284,487,330,535
455,103095,F20,359,143,403,168
456,103095,F20,259,244,304,275
457,103095,G21,623,269,653,304
458,103095,G21,126,298,160,341
459,103095,G22,347,253,377,295
460,103095,G22,173,405,216,441
461,103095,X,444,718,529,782
462,103095,Y,48,681,100,737
463,103101,A1,139,360,180,545
464,103101,A1,69,366,137,534
465,103101,A2,93,615,203,737
466,103101,A2,280,866,395,977
467,103101,A3,579,450,674,571
468,103101,A3,269,661,394,731
469,103101,B4,485,245,532,360
470,103101,B4,126,699,180,769
471,103101,B5,627,343,721,460
472,103101,B5,52,347,121,466
473,103101,C6,369,280,435,389
474,103101,C6,335,570,412,674
475,103101,C7,353,166,439,270
476,103101,C7,726,348,785,428
477,103101,C8,566,201,630,274
478,103101,C8,125,323,192,409
479,103101,C9,66,339,160,375
480,103101,C9,31,378,90,446
481,103101,C10,439,291,486,379
482,103101,C10,294,533,388,585
483,103101,C11,530,595,582,684
484,103101,C11,357,444,398,546
485,103101,C12,613,114,694,199
486,103101,C12,527,476,575,568
487,103101,D13,156,19,214,99
488,103101,D13,596,513,648,586
489,103101,D14,735,189,784,273
490,103101,D14,225,260,264,364
491,103101,D15,428,631,459,705
492,103101,D15,457,650,531,678
493,103101,E16,103,318,173,350
494,103101,E16,425,691,466,758
495,103101,E17,449,152,519,206
496,103101,E17,454,248,509,296
497,103101,E18,690,267,742,319
498,103101,E18,307,735,349,779
499,103101,F19,521,396,554,452
500,103101,F19,692,166,752,193
501,103101,F20,307,181,342,239
502,103101,F20,575,403,607,461
503,103101,G21,518,338,554,371
504,103101,G21,727,262,767,294
505,103101,G22,479,502,515,552
506,103101,G22,348,887,380,937
507,103101,X,572,174,669,234
508,103101,Y,258,159,284,202
509,103111,A1,393,366,458,482
510,103111,A1,385,89,481,203
511,103111,A2,133,230,217,343
512,103111,A2,109,282,193,359
513,103111,A3,162,102,246,206
514,103111,A3,32,487,132,591
515,103111,B4,118,164,172,258
516,103111,B4,55,379,125,481
517,103111,B5,231,218,316,289
518,103111,B5,569,392,615,486
519,103111,C6,603,504,673,566
520,103111,C6,81,589,134,664
521,103111,C7,574,296,625,386
522,103111,C7,321,347,387,423
523,103111,C8,177,500,255,538
524,103111,C8,299,271,358,333
525,103111,C9,507,382,562,453
526,103111,C9,512,130,592,186
527,103111,C10,546,273,586,356
528,103111,C10,193,565,238,638
529,103111,C11,336,222,416,249
530,103111,C11,139,466,207,506
531,103111,C12,131,550,190,626
532,103111,C12,436,128,493,208
533,103111,D13,38,239,102,297
534,103111,D13,447,321,497,386
535,103111,D14,262,26,308,87
536,103111,D14,457,375,514,431
537,103111,D15,248,384,286,452
538,103111,D15,105,442,170,470
539,103111,E16,483,81,544,120
540,103111,E16,279,136,312,193
541,103111,E17,640,320,674,388
542,103111,E17,330,370,382,408
543,103111,E18,576,186,621,240
544,103111,E18,140,503,183,541
545,103111,F19,431,50,487,88
546,103111,F19,637,251,683,289
547,103111,F20,468,439,515,475
548,103111,F20,290,431,330,465
549,103111,G21,124,630,157,671
550,103111,G21,427,361,461,390
551,103111,G22,531,227,571,266
552,103111,G22,310,427,350,461
553,103111,X,45,195,106,250
554,103111,X,229,313,299,374
555,103112,A1,72,122,178,211
556,103112,A1,120,212,214,324
557,103112,A2,411,916,528,990
558,103112,A2,298,630,370,746
559,103112,A3,683,61,757,170
560,103112,A3,105,456,178,568
561,103112,B4,264,122,331,211
562,103112,B4,216,654,269,755
563,103112,B5,256,322,334,402
564,103112,B5,653,65,722,161
565,103112,C6,519,907,596,981
566,103112,C6,347,788,412,862
567,103112,C7,346,265,452,305
568,103112,C7,780,417,864,463
569,103112,C8,319,574,396,642
570,103112,C8,291,489,358,541
571,103112,C9,293,651,328,733
572,103112,C9,228,458,311,500
573,103112,C10,420,59,516,95
574,103112,C10,217,542,288,608
575,103112,C11,490,245,584,298
576,103112,C11,399,375,461,428
577,103112,C12,804,213,881,273
578,103112,C12,44,307,109,387
579,103112,D13,849,297,883,376
580,103112,D13,526,867,585,919
581,103112,D14,737,297,778,383
582,103112,D14,128,358,173,429
583,103112,D15,26,302,69,368
584,103112,D15,239,686,288,746
585,103112,E16,525,382,589,414
586,103112,E16,410,500,464,544
587,103112,E17,546,137,612,193
588,103112,E17,854,56,896,126
589,103112,E18,631,346,687,389
590,103112,E18,475,351,534,392
591,103112,F19,91,422,145,458
592,103112,F19,154,292,192,328
593,103112,F20,126,224,168,265
594,103112,F20,351,370,400,409
595,103112,G21,303,402,339,441
596,103112,G21,472,418,506,461
597,103112,G22,636,169,675,223
598,103112,G22,121,323,172,354
599,103112,X,297,13,396,74
600,103112,X,238,16,333,64
601,103113,A1,367,438,497,503
602,103113,A1,415,338,513,447
603,103113,A2,484,545,516,696
604,103113,A2,377,491,479,543
605,103113,A3,378,186,489,221
606,103113,A3,228,207,334,241
607,103113,B4,146,619,244,664
608,103113,B4,338,95,415,183
609,103113,B5,148,419,231,503
610,103113,B5,325,151,370,237
611,103113,C6,282,190,320,287
612,103113,C6,210,191,256,293
613,103113,C7,32,494,116,563
614,103113,C7,486,353,544,421
615,103113,C8,278,539,359,584
616,103113,C8,290,634,335,722
617,103113,C9,160,372,240,410
618,103113,C9,418,229,495,280
619,103113,C10,134,479,208,523
620,103113,C10,352,203,413,276
621,103113,C11,350,312,428,358
622,103113,C11,279,53,355,105
623,103113,C12,234,510,301,569
624,103113,C12,273,393,317,472
625,103113,D13,415,563,454,635
626,103113,D13,510,385,540,450
627,103113,D14,342,498,385,563
628,103113,D14,560,402,588,469
629,103113,D15,515,271,577,320
630,103113,D15,323,322,353,386
631,103113,E16,397,358,444,408
632,103113,E16,400,273,449,302
633,103113,E17,232,340,263,400
634,103113,E17,480,164,527,203
635,103113,E18,440,371,493,398
636,103113,E18,412,80,463,117
637,103113,F19,264,345,293,392
638,103113,F19,339,290,384,321
639,103113,F20,280,491,325,518
640,103113,F20,310,448,353,480
641,103113,G21,462,459,500,488
642,103113,G21,420,454,454,476
643,103113,G22,532,461,571,489
644,103113,G22,481,125,514,165
645,103113,X,410,112,452,194
646,103121,A1,309,87,394,173
647,103121,A1,349,327,476,409
648,103121,A2,397,84,538,165
649,103121,A2,342,283,465,329
650,103121,A3,73,305,154,367
651,103121,A3,349,24,440,134
652,103121,B4,459,451,518,568
653,103121,B4,584,766,699,829
654,103121,B5,643,865,748,945
655,103121,B5,199,143,243,267
656,103121,C6,138,449,245,525
657,103121,C6,667,483,777,542
658,103121,C7,552,311,622,380
659,103121,C7,696,535,787,586
660,103121,C8,208,277,247,366
661,103121,C8,644,209,697,298
662,103121,C9,120,381,203,451
663,103121,C9,729,326,763,424
664,103121,C10,154,262,222,323
665,103121,C10,719,480,776,554
666,103121,C11,69,402,117,491
667,103121,C11,557,217,617,290
668,103121,C12,786,618,839,672
669,103121,C12,716,605,781,675
670,103121,D13,285,257,364,310
671,103121,D13,535,220,574,285
672,103121,D14,141,513,212,549
673,103121,D14,423,174,488,236
674,103121,D15,487,421,557,454
675,103121,D15,178,551,233,617
676,103121,E16,643,365,686,408
677,103121,E16,80,540,143,595
678,103121,E17,545,349,583,404
679,103121,E17,307,504,360,557
680,103121,E18,654,326,703,370
681,103121,E18,536,486,583,532
682,103121,F19,767,323,811,366
683,103121,F19,358,466,396,514
684,103121,F20,481,597,514,636
685,103121,F20,231,362,286,395
686,103121,G21,354,438,398,461
687,103121,G21,809,786,841,828
688,103121,G22,780,226,811,275
689,103121,G22,517,540,543,584
690,103121,X,436,551,533,603
691,103121,Y,20,307,71,343
692,103131,A1,237,449,313,520
693,103131,A1,51,348,123,437
694,103131,A2,400,497,517,576
695,103131,A2,232,545,339,595
696,103131,A3,408,357,511,413
697,103131,A3,225,365,267,453
698,103131,B4,492,364,564,427
699,103131,B4,332,220,424,262
700,103131,B5,383,130,477,171
701,103131,B5,141,328,190,408
702,103131,C6,520,438,607,485
703,103131,C6,467,433,521,520
704,103131,C7,435,417,479,500
705,103131,C7,22,161,88,215
706,103131,C8,432,221,503,257
707,103131,C8,112,240,193,273
708,103131,C9,131,488,208,535
709,103131,C9,166,384,213,443
710,103131,C10,335,493,402,524
711,103131,C10,422,242,482,292
712,103131,C11,520,296,574,348
713,103131,C11,179,341,243,376
714,103131,C12,313,425,356,485
715,103131,C12,198,555,259,609
716,103131,C12,36,206,107,241
717,103131,D13,510,344,567,374
718,103131,D13,52,253,80,316
719,103131,D14,518,192,565,242
720,103131,D14,501,199,555,246
721,103131,D15,403,176,450,222
722,103131,D15,380,418,436,458
723,103131,E16,173,270,206,328
724,103131,E16,85,135,108,193
725,103131,E17,447,302,473,357
726,103131,E17,199,402,237,450
727,103131,E18,543,376,587,406
728,103131,E18,46,317,94,344
729,103131,F19,404,300,448,328
730,103131,F19,59,113,91,142
731,103131,F20,398,86,442,116
732,103131,F20,423,270,465,295
733,103131,G21,126,177,162,210
734,103131,G21,144,337,172,372
735,103131,G22,346,16,382,55
736,103131,G22,443,194,485,226
737,103131,X,254,135,307,210
738,103131,Y,330,555,368,590
739,103132,A1,139,240,176,394
740,103132,A1,485,178,594,295
741,103132,A2,50,215,134,346
742,103132,A2,388,341,507,436
743,103132,A3,338,393,405,516
744,103132,A3,127,311,204,404
745,103132,B4,466,199,499,312
746,103132,B4,129,252,247,297
747,103132,B5,158,41,213,147
748,103132,B5,515,277,608,328
749,103132,C6,104,133,196,197
750,103132,C6,248,194,307,286
751,103132,C7,671,320,735,398
752,103132,C7,305,260,357,345
753,103132,C8,43,156,101,236
754,103132,C8,402,215,434,302
755,103132,C9,314,142,342,221
756,103132,C9,336,116,372,207
757,103132,C10,383,112,464,155
758,103132,C10,429,250,506,298
759,103132,C11,604,204,700,262
760,103132,C11,175,450,273,481
761,103132,C12,450,306,478,388
762,103132,C12,373,388,452,438
763,103132,D13,550,404,622,453
764,103132,D13,100,288,144,354
765,103132,D14,358,230,410,284
766,103132,D14,352,167,387,232
767,103132,D15,511,89,562,149
768,103132,D15,286,167,327,233
769,103132,E16,118,74,172,128
770,103132,E16,281,75,306,132
771,103132,E17,247,364,288,418
772,103132,E17,222,74,247,134
773,103132,E18,414,464,459,521
774,103132,E18,202,259,240,306
775,103132,F19,256,79,282,127
776,103132,F19,253,141,297,172
777,103132,F20,241,170,285,197
778,103132,F20,280,198,304,243
779,103132,G21,475,486,513,529
780,103132,G21,435,198,470,227
781,103132,G22,273,285,305,338
782,103132,G22,528,163,572,195
783,103132,X,80,390,162,476
784,103132,Y,426,162,472,187
785,103133,A1,351,347,497,398
786,103133,A1,485,194,534,335
787,103133,A2,404,146,545,198
788,103133,A2,358,193,439,273
789,103133,A3,85,113,204,174
790,103133,A3,152,251,198,358
791,103133,B4,194,431,291,499
792,103133,B4,154,307,214,412
793,103133,B5,309,86,352,170
794,103133,B5,177,373,248,462
795,103133,C6,344,411,419,484
796,103133,C6,236,525,341,557
797,103133,C7,373,539,438,608
798,103133,C7,226,399,271,487
799,103133,C8,270,362,334,430
800,103133,C8,161,368,197,451
801,103133,C9,203,199,290,249
802,103133,C9,94,259,130,342
803,103133,C10,92,178,134,258
804,103133,C10,79,413,138,479
805,103133,C11,298,364,374,417
806,103133,C11,214,488,244,576
807,103133,C12,294,185,353,253
808,103133,C12,293,227,326,304
809,103133,D13,450,210,483,274
810,103133,D13,339,32,371,107
811,103133,D14,402,119,452,182
812,103133,D14,113,197,157,259
813,103133,D15,147,217,191,275
814,103133,D15,316,251,385,282
815,103133,E16,215,108,272,155
816,103133,E16,340,465,374,522
817,103133,E17,379,273,422,323
818,103133,E17,269,300,327,346
819,103133,E18,392,363,429,412
820,103133,E18,242,500,289,538
821,103133,F19,546,235,597,272
822,103133,F19,278,105,322,150
823,103133,F20,341,309,388,346
824,103133,F20,210,289,253,321
825,103133,G21,505,302,540,341
826,103133,G21,509,250,541,281
827,103133,G22,546,388,590,433
828,103133,G22,149,181,182,231
829,103133,X,542,288,615,352
830,103133,Y,127,71,163,114
831,103141,A1,350,38,449,134
832,103141,A1,195,285,291,413
833,103141,A2,353,217,515,298
834,103141,A2,152,360,255,425
835,103141,A3,333,536,405,626
836,103141,A3,316,305,357,442
837,103141,B4,25,325,113,453
838,103141,B4,219,298,320,377
839,103141,B5,431,235,536,315
840,103141,B5,423,328,534,367
841,103141,C6,459,265,512,392
842,103141,C6,456,502,553,575
843,103141,C7,494,128,621,167
844,103141,C7,571,371,636,428
845,103141,C8,551,442,619,496
846,103141,C8,404,510,457,609
847,103141,C9,416,398,473,488
848,103141,C9,116,428,188,480
849,103141,C10,307,465,383,535
850,103141,C10,111,385,202,435
851,103141,C11,476,487,537,558
852,103141,C11,334,416,411,458
853,103141,C12,324,130,420,177
854,103141,C12,533,426,566,515
855,103141,D13,554,231,585,311
856,103141,D13,344,202,420,234
857,103141,D14,225,164,263,239
858,103141,D14,243,521,324,570
859,103141,D15,289,178,346,223
860,103141,D15,198,472,253,538
861,103141,E16,640,261,704,320
862,103141,E16,238,311,298,358
863,103141,E17,224,239,273,285
864,103141,E17,100,260,143,324
865,103141,E18,626,626,689,672
866,103141,E18,218,426,274,465
867,103141,F19,137,276,165,327
868,103141,F19,64,302,115,338
869,103141,F20,580,239,634,271
870,103141,F20,282,470,327,500
871,103141,G21,300,375,336,411
872,103141,G21,169,265,198,305
